x,f(x)
0.000000,0.002240
0.005000,0.002326
0.010000,0.002096
0.015000,0.001617
0.020000,0.001597
0.025000,0.001690
0.030000,0.001796
0.035000,0.002295
0.040000,0.002582
0.045000,0.002437
0.050000,0.002426
0.055000,0.002242
0.060000,0.001619
0.065000,0.001240
0.070000,0.001104
0.075000,0.000638
0.080000,0.000249
0.085000,0.000345
0.090000,0.000304
0.095000,-0.000062
0.100000,-0.000072
0.105000,0.000219
0.110000,0.000104
0.115000,-0.000221
0.120000,-0.000074
0.125000,0.000256
0.130000,0.000084
0.135000,-0.000276
0.140000,-0.000120
0.145000,0.000291
0.150000,0.000185
0.155000,-0.000267
0.160000,-0.000301
0.165000,0.000215
0.170000,0.000389
0.175000,-0.000021
0.180000,-0.000493
0.185000,-0.000208
0.190000,0.000404
0.195000,0.000491
0.200000,-0.000047
0.205000,-0.000707
0.210000,-0.000379
0.215000,0.000345
0.220000,0.000827
0.225000,0.000449
0.230000,-0.000648
0.235000,-0.001041
0.240000,-0.000549
0.245000,0.000546
0.250000,0.001536
0.255000,0.001133
0.260000,-0.000250
0.265000,-0.001608
0.270000,-0.002353
0.275000,-0.001463
0.280000,0.000828
0.285000,0.002990
0.290000,0.004238
0.295000,0.003782
0.300000,0.000818
0.305000,-0.003732
0.310000,-0.008318
0.315000,-0.011987
0.320000,-0.013059
0.325000,-0.009482
0.330000,-0.000517
0.335000,0.014193
0.340000,0.035669
0.345000,0.064179
0.350000,0.098863
0.355000,0.139385
0.360000,0.185896
0.365000,0.237520
0.370000,0.292789
0.375000,0.351133
0.380000,0.412317
0.385000,0.475069
0.390000,0.537699
0.395000,0.599486
0.400000,0.660207
0.405000,0.718760
0.410000,0.773424
0.415000,0.823269
0.420000,0.868301
0.425000,0.908170
0.430000,0.941590
0.435000,0.967363
0.440000,0.985404
0.445000,0.996293
0.450000,1.000061
0.455000,0.995904
0.460000,0.983154
0.465000,0.962207
0.470000,0.934300
0.475000,0.900448
0.480000,0.860795
0.485000,0.815004
0.490000,0.763227
0.495000,0.706650
0.500000,0.647150
0.505000,0.586436
0.510000,0.525397
0.515000,0.464128
0.520000,0.402531
0.525000,0.341007
0.530000,0.280799
0.535000,0.223832
0.540000,0.172208
0.545000,0.127635
0.550000,0.091045
0.555000,0.062488
0.560000,0.041276
0.565000,0.026255
0.570000,0.016095
0.575000,0.009518
0.580000,0.005434
0.585000,0.002999
0.590000,0.001601
0.595000,0.000828
0.600000,0.000415
0.605000,0.000202
0.610000,0.000095
0.615000,0.000044
0.620000,0.000020
0.625000,0.000008
0.630000,0.000004
0.635000,0.000001
0.640000,0.000001
0.645000,0.000000
0.650000,0.000000
0.655000,0.000000
0.660000,0.000000
0.665000,0.000000
0.670000,0.000000
0.675000,0.000000
0.680000,0.000000
0.685000,0.000000
0.690000,0.000000
0.695000,0.000000
0.700000,0.000000
0.705000,0.000000
0.710000,0.000000
0.715000,0.000000
0.720000,0.000000
0.725000,0.000000
0.730000,0.000000
0.735000,0.000000
0.740000,0.000000
0.745000,0.000000
0.750000,0.000000
0.755000,0.000000
0.760000,0.000000
0.765000,0.000000
0.770000,0.000000
0.775000,0.000000
0.780000,0.000000
0.785000,0.000000
0.790000,0.000000
0.795000,0.000000
0.800000,0.000000
0.805000,0.000000
0.810000,0.000000
0.815000,0.000000
0.820000,0.000000
0.825000,0.000000
0.830000,0.000000
0.835000,0.000000
0.840000,0.000000
0.845000,0.000000
0.850000,0.000000
0.855000,0.000000
0.860000,0.000000
0.865000,0.000000
0.870000,0.000000
0.875000,0.000000
0.880000,0.000000
0.885000,0.000000
0.890000,0.000000
0.895000,0.000000
0.900000,0.000000
0.905000,0.000000
0.910000,0.000000
0.915000,0.000000
0.920000,0.000000
0.925000,0.000000
0.930000,0.000000
0.935000,0.000000
0.940000,0.000000
0.945000,0.000000
0.950000,0.000000
0.955000,0.000000
0.960000,0.000000
0.965000,0.000000
0.970000,0.000000
0.975000,0.000000
0.980000,0.000000
0.985000,0.000000
0.990000,0.000000
0.995000,0.000000
1.000000,0.000000
